"ref","company","company_location","review_date","country_of_bean_origin","specific_bean_origin_or_bar_name","cocoa_percent","rating","counts_of_ingredients","beans","cocoa_butter","vanilla","lecithin","salt","sugar","sweetener_without_sugar","first_taste","second_taste","third_taste","fourth_taste"
797,"A. Morin","France",2012,"Peru","Peru",63,3.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","fruity","melon","roasty",""
797,"A. Morin","France",2012,"Bolivia","Bolivia",70,3.5,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","vegetal","nutty","",""
1015,"A. Morin","France",2013,"Venezuela","Chuao",70,4,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","oily","nut","caramel","raspberry"
1019,"A. Morin","France",2013,"Peru","Chanchamayo Province",63,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sweet","cocoa","tangerine",""
1011,"A. Morin","France",2013,"Ecuador","Equateur",70,3.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sandy","nutty","cocoa","fig"
1019,"A. Morin","France",2013,"Peru","Chanchamayo Province",70,3.5,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","cocoa","sour","intense tangerine",""
1011,"A. Morin","France",2013,"Brazil","Brazil",70,3.25,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","mild tobacco","","",""
1015,"A. Morin","France",2013,"Papua new guinea","Papua New Guinea",70,3.25,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","mild fruit","strong smoke","",""
1019,"A. Morin","France",2013,"Peru","Piura",70,3.25,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","green","nutty","cocoa",""
1011,"A. Morin","France",2013,"Madagascar","Madagascar, Criollo",70,3,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sticky","red fruit","sour",""
1015,"A. Morin","France",2013,"Burma","Birmanie",70,3,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sticky","smokey","grass",""
1011,"A. Morin","France",2013,"Panama","Panama",70,2.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","brief fruit note","earthy","nutty",""
1015,"A. Morin","France",2013,"Colombia","Colombie",70,2.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","burnt rubber","alkalyzed notes","",""
1319,"A. Morin","France",2014,"Peru","Pablino",70,4,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","delicate","hazelnut","brownie",""
1319,"A. Morin","France",2014,"Venezuela","Puerto Cabello, Criollo",70,3.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","astringent","nutty","chocolatey",""
1315,"A. Morin","France",2014,"Cuba","Cuba",70,3.5,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sliglty dry","papaya","",""
1315,"A. Morin","France",2014,"Venezuela","Sur del Lago, Criollo",70,3.5,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","nutty","mild choco","roasty",""
1315,"A. Morin","France",2014,"Venezuela","Carenero, Criollo",70,2.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","harsh","leather","earthy",""
1680,"A. Morin","France",2015,"Togo","Akata",70,3.5,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","mild profile","chocolaty","spice",""
1704,"A. Morin","France",2015,"Peru","Quilla",70,3.5,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","grainy texture","cocoa","sweet",""
1676,"A. Morin","France",2015,"Togo","Atsane",70,3,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","roasty","acidic","nutty",""
1676,"A. Morin","France",2015,"Togo","Kpime",70,2.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","burnt wood","earthy","choco",""
1876,"A. Morin","France",2016,"Sao tome","Agua Grande",63,3.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sweet","chocolatey","vegetal",""
2206,"A. Morin","France",2018,"Peru","Absolu",63,3.75,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sweet","dairy","spice","cocoa"
2206,"A. Morin","France",2018,"Venezuela","Porcelana",70,3.5,"4","have_bean","have_cocoa_butter","have_not_vanila","have_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","alluring aroma","powdery","nutty",""
1598,"Arete","U.S.A",2015,"Nicaragua","Chuno",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","sticky","peanut butter",""
1534,"Arete","U.S.A",2015,"Ecuador","Puerto Quito, heirloom",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","spicy","cocoa","",""
1598,"Arete","U.S.A",2015,"Belize","Maya Mountain",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","floral","strawberry","metallic",""
1534,"Arete","U.S.A",2015,"Brazil","Fazenda Camboa",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","rich","rum","roasty"
